Animal_ID	WLS	Diet	Treatment	GDAT_BW	TG_nmol_gWW	glucose_norm
147-15	147	Assorted Fiber	147_Assorted Fiber	1.8945	3.357	0.991768
147-16	147	Assorted Fiber	147_Assorted Fiber	4.392	14.213	1.001434
147-17	147	Assorted Fiber	147_Assorted Fiber	1.5451	5.832	0.771219
147-52	147	Assorted Fiber	147_Assorted Fiber	3.6312	13.219	1.092918
147-53	147	Assorted Fiber	147_Assorted Fiber	3.5053	3.473	0.909094
147-54	147	Assorted Fiber	147_Assorted Fiber	2.9024	12.804	0.964567
147-55	147	Assorted Fiber	147_Assorted Fiber	3.4859	6.139	NA
147-56	147	Assorted Fiber	147_Assorted Fiber	3.8467	4.06	NA
165-17	165	Assorted Fiber	165_Assorted Fiber	1.5663	2.876	0.915739
165-18	165	Assorted Fiber	165_Assorted Fiber	1.0047	1.933	1.019395
165-19	165	Assorted Fiber	165_Assorted Fiber	1.3634	1.005	0.897138
165-20	165	Assorted Fiber	165_Assorted Fiber	2.7086	4.8	NA
165-21	165	Assorted Fiber	165_Assorted Fiber	1.7108	7.954	NA
165-57	165	Assorted Fiber	165_Assorted Fiber	1.5803	0.586	1.021505
165-58	165	Assorted Fiber	165_Assorted Fiber	2.7763	6.692	0.9736
165-59	165	Assorted Fiber	165_Assorted Fiber	2.1252	2.878	0.890308
165-60	165	Assorted Fiber	165_Assorted Fiber	2.1157	8.34	NA
165-61	165	Assorted Fiber	165_Assorted Fiber	1.9409	2.494	NA
147-32	147	Cellulose	147_Cellulose	3.6428	14.35	0.974312
147-33	147	Cellulose	147_Cellulose	3.81	29.294	1.219105
147-34	147	Cellulose	147_Cellulose	3.6775	7.144	1.000728
147-35	147	Cellulose	147_Cellulose	4.2217	13.848	NA
147-36	147	Cellulose	147_Cellulose	3.3511	15.451	NA
147-6	147	Cellulose	147_Cellulose	2.7976	4.117	1.062896
147-7	147	Cellulose	147_Cellulose	4.4539	15.23	1.105911
147-8	147	Cellulose	147_Cellulose	2.7786	19.976	0.996877
165-10	165	Cellulose	165_Cellulose	3.1059	9.192	1.023247
165-36	165	Cellulose	165_Cellulose	3.1376	7.701	1.112745
165-37	165	Cellulose	165_Cellulose	3.0845	6.453	1.023411
165-38	165	Cellulose	165_Cellulose	2.2847	9.099	1.059337
165-39	165	Cellulose	165_Cellulose	3.1094	10.947	NA
165-40	165	Cellulose	165_Cellulose	2.6528	12.635	NA
165-8	165	Cellulose	165_Cellulose	3.4215	8.803	1.144626
165-9	165	Cellulose	165_Cellulose	3.0947	10.162	1.032566
147-22	147	Inulin	147_Inulin	3.341	11.858	1.0605
147-23	147	Inulin	147_Inulin	2.1984	4.467	0.908511
147-24	147	Inulin	147_Inulin	1.9527	4.868	1.012819
147-25	147	Inulin	147_Inulin	4.1372	8.19	1.016529
147-26	147	Inulin	147_Inulin	2.7659	3.303	NA
147G	147	Inulin	147_Inulin	3.7533	13.56	1.190165
147H	147	Inulin	147_Inulin	3.2754	7.668	1.232338
165-27	165	Inulin	165_Inulin	NA	2.243	0.926636
165-28	165	Inulin	165_Inulin	1.9149	2.894	0.803693
165-29	165	Inulin	165_Inulin	2.2477	6.863	NA
165-30	165	Inulin	165_Inulin	2.0029	5.915	NA
165G	165	Inulin	165_Inulin	3.2078	5.818	0.892131
165H	165	Inulin	165_Inulin	2.2085	4.316	0.993333
165I	165	Inulin	165_Inulin	1.3103	1.997	0.9933
165J	165	Inulin	165_Inulin	1.1294	1.445	0.929477
147-13	147	Pectin	147_Pectin	2.2465	4.385	0.991022
147-14	147	Pectin	147_Pectin	3.1428	NA	1.028141
147-42	147	Pectin	147_Pectin	2.8125	4.789	0.935836
147-43	147	Pectin	147_Pectin	1.6634	3.452	0.858971
147-44	147	Pectin	147_Pectin	2.026	11.005	0.992951
147-45	147	Pectin	147_Pectin	2.3719	9.865	0.999272
147-46	147	Pectin	147_Pectin	2.0081	5.094	NA
165-13	165	Pectin	165_Pectin	2.6502	9.149	0.943939
165-14	165	Pectin	165_Pectin	NA	5.324	1.023528
165-15	165	Pectin	165_Pectin	2.8721	5.738	0.974331
165-16	165	Pectin	165_Pectin	3.2638	20.397	NA
165-47	165	Pectin	165_Pectin	3.7991	24.312	1.002378
165-48	165	Pectin	165_Pectin	2.6758	3.899	1.001912
165-49	165	Pectin	165_Pectin	3.3711	4.085	1.042068
165-50	165	Pectin	165_Pectin	2.4934	5.56	NA
165-51	165	Pectin	165_Pectin	2.5838	11.154	NA
