"seq_id","id","community","diet","treatment","groups","cohort","lane","name"
"s_147-13_S1_L001","Sample_147-13",147,"Pectin","147_Pectin","c147_P",2,"L001","c147-13_P_L1"
"s_147-13_S1_L002","Sample_147-13",147,"Pectin","147_Pectin","c147_P",2,"L002","c147-13_P_L2"
"s_147-14_S2_L001","Sample_147-14",147,"Pectin","147_Pectin","c147_P",2,"L001","c147-14_P_L1"
"s_147-14_S2_L002","Sample_147-14",147,"Pectin","147_Pectin","c147_P",2,"L002","c147-14_P_L2"
"s_147-15_S3_L001","Sample_147-15",147,"Assorted Fiber","147_AssortedFiber","c147_AF",3,"L001","c147-15_AF_L1"
"s_147-15_S3_L002","Sample_147-15",147,"Assorted Fiber","147_AssortedFiber","c147_AF",3,"L002","c147-15_AF_L2"
"s_147-16_S4_L001","Sample_147-16",147,"Assorted Fiber","147_AssortedFiber","c147_AF",3,"L001","c147-16_AF_L1"
"s_147-16_S4_L002","Sample_147-16",147,"Assorted Fiber","147_AssortedFiber","c147_AF",3,"L002","c147-16_AF_L2"
"s_147-17_S5_L001","Sample_147-17",147,"Assorted Fiber","147_AssortedFiber","c147_AF",3,"L001","c147-17_AF_L1"
"s_147-17_S5_L002","Sample_147-17",147,"Assorted Fiber","147_AssortedFiber","c147_AF",3,"L002","c147-17_AF_L2"
"s_147-22_S6_L001","Sample_147-22",147,"Inulin","147_Inulin","c147_I",4,"L001","c147-22_I_L1"
"s_147-22_S6_L002","Sample_147-22",147,"Inulin","147_Inulin","c147_I",4,"L002","c147-22_I_L2"
"s_147-23_S7_L001","Sample_147-23",147,"Inulin","147_Inulin","c147_I",4,"L001","c147-23_I_L1"
"s_147-23_S7_L002","Sample_147-23",147,"Inulin","147_Inulin","c147_I",4,"L002","c147-23_I_L2"
"s_147-24_S8_L001","Sample_147-24",147,"Inulin","147_Inulin","c147_I",4,"L001","c147-24_I_L1"
"s_147-24_S8_L002","Sample_147-24",147,"Inulin","147_Inulin","c147_I",4,"L002","c147-24_I_L2"
"s_147-32_S9_L001","Sample_147-32",147,"Cellulose","147_Cellulose","c147_C",5,"L001","c147-32_C_L1"
"s_147-32_S9_L002","Sample_147-32",147,"Cellulose","147_Cellulose","c147_C",5,"L002","c147-32_C_L2"
"s_147-33_S10_L001","Sample_147-33",147,"Cellulose","147_Cellulose","c147_C",5,"L001","c147-33_C_L1"
"s_147-33_S10_L002","Sample_147-33",147,"Cellulose","147_Cellulose","c147_C",5,"L002","c147-33_C_L2"
"s_147-42_S11_L001","Sample_147-42",147,"Pectin","147_Pectin","c147_P",6,"L001","c147-42_P_L1"
"s_147-42_S11_L002","Sample_147-42",147,"Pectin","147_Pectin","c147_P",6,"L002","c147-42_P_L2"
"s_147-43_S12_L001","Sample_147-43",147,"Pectin","147_Pectin","c147_P",6,"L001","c147-43_P_L1"
"s_147-43_S12_L002","Sample_147-43",147,"Pectin","147_Pectin","c147_P",6,"L002","c147-43_P_L2"
"s_147-44_S13_L001","Sample_147-44",147,"Pectin","147_Pectin","c147_P",6,"L001","c147-44_P_L1"
"s_147-44_S13_L002","Sample_147-44",147,"Pectin","147_Pectin","c147_P",6,"L002","c147-44_P_L2"
"s_147-52_S14_L001","Sample_147-52",147,"Assorted Fiber","147_AssortedFiber","c147_AF",6,"L001","c147-52_AF_L1"
"s_147-52_S14_L002","Sample_147-52",147,"Assorted Fiber","147_AssortedFiber","c147_AF",6,"L002","c147-52_AF_L2"
"s_147-53_S15_L001","Sample_147-53",147,"Assorted Fiber","147_AssortedFiber","c147_AF",6,"L001","c147-53_AF_L1"
"s_147-53_S15_L002","Sample_147-53",147,"Assorted Fiber","147_AssortedFiber","c147_AF",6,"L002","c147-53_AF_L2"
"s_147-6_S16_L001","Sample_147-6",147,"Cellulose","147_Cellulose","c147_C",2,"L001","c147-6_C_L1"
"s_147-6_S16_L002","Sample_147-6",147,"Cellulose","147_Cellulose","c147_C",2,"L002","c147-6_C_L2"
"s_147-7_S17_L001","Sample_147-7",147,"Cellulose","147_Cellulose","c147_C",2,"L001","c147-7_C_L1"
"s_147-7_S17_L002","Sample_147-7",147,"Cellulose","147_Cellulose","c147_C",2,"L002","c147-7_C_L2"
"s_147-8_S18_L001","Sample_147-8",147,"Cellulose","147_Cellulose","c147_C",2,"L001","c147-8_C_L1"
"s_147-8_S18_L002","Sample_147-8",147,"Cellulose","147_Cellulose","c147_C",2,"L002","c147-8_C_L2"
"s_147G_S19_L001","Sample_147G",147,"Inulin","147_Inulin","c147_I",1,"L001","c147G_I_L1"
"s_147G_S19_L002","Sample_147G",147,"Inulin","147_Inulin","c147_I",1,"L002","c147G_I_L2"
"s_147H_S20_L001","Sample_147H",147,"Inulin","147_Inulin","c147_I",1,"L001","c147H_I_L1"
"s_147H_S20_L002","Sample_147H",147,"Inulin","147_Inulin","c147_I",1,"L002","c147H_I_L2"
"s_165-10_S21_L001","Sample_165-10",165,"Cellulose","165_Cellulose","c165_C",2,"L001","c165-10_C_L1"
"s_165-10_S21_L002","Sample_165-10",165,"Cellulose","165_Cellulose","c165_C",2,"L002","c165-10_C_L2"
"s_165-13_S22_L001","Sample_165-13",165,"Pectin","165_Pectin","c165_P",2,"L001","c165-13_P_L1"
"s_165-13_S22_L002","Sample_165-13",165,"Pectin","165_Pectin","c165_P",2,"L002","c165-13_P_L2"
"s_165-14_S23_L001","Sample_165-14",165,"Pectin","165_Pectin","c165_P",2,"L001","c165-14_P_L1"
"s_165-14_S23_L002","Sample_165-14",165,"Pectin","165_Pectin","c165_P",2,"L002","c165-14_P_L2"
"s_165-17_S24_L001","Sample_165-17",165,"Assorted Fiber","165_AssortedFiber","c165_AF",3,"L001","c165-17_AF_L1"
"s_165-17_S24_L002","Sample_165-17",165,"Assorted Fiber","165_AssortedFiber","c165_AF",3,"L002","c165-17_AF_L2"
"s_165-18_S25_L001","Sample_165-18",165,"Assorted Fiber","165_AssortedFiber","c165_AF",3,"L001","c165-18_AF_L1"
"s_165-18_S25_L002","Sample_165-18",165,"Assorted Fiber","165_AssortedFiber","c165_AF",3,"L002","c165-18_AF_L2"
"s_165-19_S26_L001","Sample_165-19",165,"Assorted Fiber","165_AssortedFiber","c165_AF",3,"L001","c165-19_AF_L1"
"s_165-19_S26_L002","Sample_165-19",165,"Assorted Fiber","165_AssortedFiber","c165_AF",3,"L002","c165-19_AF_L2"
"s_165-27_S27_L001","Sample_165-27",165,"Inulin","165_Inulin","c165_I",4,"L001","c165-27_I_L1"
"s_165-27_S27_L002","Sample_165-27",165,"Inulin","165_Inulin","c165_I",4,"L002","c165-27_I_L2"
"s_165-36_S28_L001","Sample_165-36",165,"Cellulose","165_Cellulose","c165_C",5,"L001","c165-36_C_L1"
"s_165-36_S28_L002","Sample_165-36",165,"Cellulose","165_Cellulose","c165_C",5,"L002","c165-36_C_L2"
"s_165-37_S29_L001","Sample_165-37",165,"Cellulose","165_Cellulose","c165_C",5,"L001","c165-37_C_L1"
"s_165-37_S29_L002","Sample_165-37",165,"Cellulose","165_Cellulose","c165_C",5,"L002","c165-37_C_L2"
"s_165-47_S30_L001","Sample_165-47",165,"Pectin","165_Pectin","c165_P",6,"L001","c165-47_P_L1"
"s_165-47_S30_L002","Sample_165-47",165,"Pectin","165_Pectin","c165_P",6,"L002","c165-47_P_L2"
"s_165-48_S31_L001","Sample_165-48",165,"Pectin","165_Pectin","c165_P",6,"L001","c165-48_P_L1"
"s_165-48_S31_L002","Sample_165-48",165,"Pectin","165_Pectin","c165_P",6,"L002","c165-48_P_L2"
"s_165-49_S32_L001","Sample_165-49",165,"Pectin","165_Pectin","c165_P",6,"L001","c165-49_P_L1"
"s_165-49_S32_L002","Sample_165-49",165,"Pectin","165_Pectin","c165_P",6,"L002","c165-49_P_L2"
"s_165-57_S33_L001","Sample_165-57",165,"Assorted Fiber","165_AssortedFiber","c165_AF",6,"L001","c165-57_AF_L1"
"s_165-57_S33_L002","Sample_165-57",165,"Assorted Fiber","165_AssortedFiber","c165_AF",6,"L002","c165-57_AF_L2"
"s_165-58_S34_L001","Sample_165-58",165,"Assorted Fiber","165_AssortedFiber","c165_AF",6,"L001","c165-58_AF_L1"
"s_165-58_S34_L002","Sample_165-58",165,"Assorted Fiber","165_AssortedFiber","c165_AF",6,"L002","c165-58_AF_L2"
"s_165-8_S35_L001","Sample_165-8",165,"Cellulose","165_Cellulose","c165_C",2,"L001","c165-8_C_L1"
"s_165-8_S35_L002","Sample_165-8",165,"Cellulose","165_Cellulose","c165_C",2,"L002","c165-8_C_L2"
"s_165-9_S36_L001","Sample_165-9",165,"Cellulose","165_Cellulose","c165_C",2,"L001","c165-9_C_L1"
"s_165-9_S36_L002","Sample_165-9",165,"Cellulose","165_Cellulose","c165_C",2,"L002","c165-9_C_L2"
"s_165G_S37_L001","Sample_165G",165,"Inulin","165_Inulin","c165_I",1,"L001","c165G_I_L1"
"s_165G_S37_L002","Sample_165G",165,"Inulin","165_Inulin","c165_I",1,"L002","c165G_I_L2"
"s_165H_S38_L001","Sample_165H",165,"Inulin","165_Inulin","c165_I",1,"L001","c165H_I_L1"
"s_165H_S38_L002","Sample_165H",165,"Inulin","165_Inulin","c165_I",1,"L002","c165H_I_L2"
"s_165I_S39_L001","Sample_165I",165,"Inulin","165_Inulin","c165_I",1,"L001","c165I_I_L1"
"s_165I_S39_L002","Sample_165I",165,"Inulin","165_Inulin","c165_I",1,"L002","c165I_I_L2"
"s_165J_S40_L001","Sample_165J",165,"Inulin","165_Inulin","c165_I",1,"L001","c165J_I_L1"
"s_165J_S40_L002","Sample_165J",165,"Inulin","165_Inulin","c165_I",1,"L002","c165J_I_L2"
