"","WLS","Diet","Treatment","Cohort","GDATdivBW","LiverTriglycerides","Glucose"
"147-6","147","Cellulose","147_Cellulose","2",2.7976,4.117,1.062896
"147-7","147","Cellulose","147_Cellulose","2",4.4539,15.23,1.105911
"147-8","147","Cellulose","147_Cellulose","2",2.7786,19.976,0.996877
"147-32","147","Cellulose","147_Cellulose","5",3.6428,14.35,0.974312
"147-33","147","Cellulose","147_Cellulose","5",3.81,29.294,1.219105
"147-34","147","Cellulose","147_Cellulose","5",3.6775,7.144,1.000728
"147G","147","Inulin","147_Inulin","1",3.7533,13.56,1.190165
"147H","147","Inulin","147_Inulin","1",3.2754,7.668,1.232338
"147-22","147","Inulin","147_Inulin","4",3.341,11.858,1.0605
"147-23","147","Inulin","147_Inulin","4",2.1984,4.467,0.908511
"147-24","147","Inulin","147_Inulin","4",1.9527,4.868,1.012819
"147-25","147","Inulin","147_Inulin","4",4.1372,8.19,1.016529
"147-13","147","Pectin","147_Pectin","2",2.2465,4.385,0.991022
"147-42","147","Pectin","147_Pectin","6",2.8125,4.789,0.935836
"147-43","147","Pectin","147_Pectin","6",1.6634,3.452,0.858971
"147-44","147","Pectin","147_Pectin","6",2.026,11.005,0.992951
"147-45","147","Pectin","147_Pectin","6",2.3719,9.865,0.999272
"165-10","165","Cellulose","165_Cellulose","2",3.1059,9.192,1.023247
"165-8","165","Cellulose","165_Cellulose","2",3.4215,8.803,1.144626
"165-9","165","Cellulose","165_Cellulose","2",3.0947,10.162,1.032566
"165-36","165","Cellulose","165_Cellulose","5",3.1376,7.701,1.112745
"165-37","165","Cellulose","165_Cellulose","5",3.0845,6.453,1.023411
"165-38","165","Cellulose","165_Cellulose","5",2.2847,9.099,1.059337
"165G","165","Inulin","165_Inulin","1",3.2078,5.818,0.892131
"165H","165","Inulin","165_Inulin","1",2.2085,4.316,0.993333
"165I","165","Inulin","165_Inulin","1",1.3103,1.997,0.9933
"165J","165","Inulin","165_Inulin","1",1.1294,1.445,0.929477
"165-28","165","Inulin","165_Inulin","4",1.9149,2.894,0.803693
"165-13","165","Pectin","165_Pectin","2",2.6502,9.149,0.943939
"165-15","165","Pectin","165_Pectin","2",2.8721,5.738,0.974331
"165-47","165","Pectin","165_Pectin","6",3.7991,24.312,1.002378
"165-48","165","Pectin","165_Pectin","6",2.6758,3.899,1.001912
"165-49","165","Pectin","165_Pectin","6",3.3711,4.085,1.042068
