"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"99deb3c5ecb022ec05609ebd1112a557","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"b15193fce14759d1c06728933e044af6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"9d5054752ed33d6a22bd0f96b5618b1c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","caccae"
"7b28c20e72c6c95b3e604f0849245770","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"742e1f191223f58590661de80b9d6e3b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"333bbf9224442fc10cd497377d2b1d01","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"3b010dbd9eae72a79f11af5d24eb3ca3","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","muciniphila"
"836cd5ea357ad392c00a7e48d921be1d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"00a96fbd0ac34bfd245f9c24f8737f7d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum"
"d76d59ec71de0e3b22da0c9cd564d41a","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"b7e5e417da183df1d5cb33a51a10991d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","fragilis"
"9e3226efaf559eb14a478f880462cb8a","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"7eb7e0a0f11063aedff53f4b38a31b59","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"f479c23321346918723839e33a3544f4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"f09b6ee752454bc944448e79c63d441d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"bf611493002f5918a68778bde2def567","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"08bd43071a06abf56df235fca6655bea","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","torques"
"5f8d35126b0a7321413d21487ec72b73","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"d114fb4c335125128be28401522dd41a","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","g.Lactococcus"
"27f098662c8f87b4aaff903d9c0f28d3","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","g.Bilophila"
"3955270229e2e147050222701726b606","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"05dbbf0301a9625e1f1a41470a92f7fe","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"e4ef1c7b616eb842c0ff7a327e83bd76","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","g.Parabacteroides"
"dbcdaca3ee9e9fe75d8829e87b8551dc","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","g.Sutterella"
"5a6c87d6a4eb5e114959f6192f29b641","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","adolescentis"
"b0e56c25ca193e27096e8fb4eb560eee","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"824b9c5e131ccef5ab3286cfde31640c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"c67445ed68d61f49e41b7bdd1de019fb","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"15cfeb62055743aacb7f78e9aa86accd","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"47f770032218f91b352999ff1f663807","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"9908fffab7ed4f3bec44cda2f5084d49","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","g.Enterococcus"
"1b8dec58597978264025b9eba656ffb5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"9d88acce7b2f13b58bf95d2f17ec8c2f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"4a9d619121f60f22b17fd67136eca047","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"d46e2205f0c6ecf67b51f83d111c509c","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","coli"
"76b39e86c95e0c7dd8b9c57b974f6532","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
"f5f5e0da89730462abaf6301a9557193","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"da8644094f1d480f3b3a6a03a7027ab4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"8d1761da3df16fe43e34eea0112ba8fd","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","g.Parabacteroides"
"782a79a0725adc6ac22fc1fd15933a12","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","biforme"
"8e2daae0f076acb2d186378cb883210a","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"d8e7f9181e4d5a4a6453e9ca9996a43f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","g.Parabacteroides"
"67a0fb4656443a145f3e8068e761faef","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"9639a3291729a3758207b47715d9205f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"67e8859e108281ee7971084bfa759522","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"099e18bb9f8673a2b9d8f2c6ba63037c","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"412b0b2c43975195a230e493a7a2b763","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Barnesiellaceae]","f.[Barnesiellaceae]","f.[Barnesiellaceae]"
"acf09e78b337fd51b09606fabf09493e","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","rc4-4","g.rc4-4"
"77c2dc197e6b3dbebc4ee240c6a1c559","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"bea2245c01baedd6d4a6d6e4e857f9f6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","g.Butyricimonas"
"5fbc483f79cd97d3a7253931f37c33e8","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"be113850f984a95296ddceeb1a1d09df","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"360b8779251bfde96f1165e5202f83d6","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"5df1c5c06a1966d13b17f1f5df672777","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"61535a40adb8221483821e3984d0b1ac","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"8e57504dc983371fdfda46354894a84d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"8e175abe6a746b8f33bae9cd7c8192bb","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"878fc53ff6f6333a92673b700951fa1b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","distasonis"
"fd44d4cb468fd7dc9b3227867714ed87","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"2724c03777afbe627457f813998c91c4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"332a6411ff00b4010ac2397f504c4695","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"c6c3ab4e828fb40d6e05967b7aac9338","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"eeb139783378b765b72719ce6098b7ce","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","obeum"
"e889880b1157bebf05922692774ac7bb","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"b621d4b3cca1ec89ceca12efca8a94fb","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"cf0e29b1acfd7c9cc92b326cbfc88908","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Pseudoramibacter_Eubacterium","g.Pseudoramibacter_Eubacterium"
"756e9c33696716a5484135c832f18f12","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"d00a358047dbcb9ce8d036d8f18962a7","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"d71feb1923fa288790187009e8efa6d3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"d49783e7800974b5f2bcce554e26072e","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","producta"
"fbd67349783ebeacc69814257b694d56","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","ovatus"
