"","BIOCHEMICAL","SUPER_PATHWAY","SUB_PATHWAY","moduleColor","GS.GDAT_BW","p.GS.GDAT_BW","GS.TG_nmol_gWW","p.GS.TG_nmol_gWW","GS.TG_nmol_gWW.1","p.GS.glucose_norm","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.black","p.MM.black","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.red","p.MM.red","MM.pink","p.MM.pink","MM.grey","p.MM.grey","MM.green","p.MM.green"
"1","2-aminooctanoate","Lipid","Fatty Acid, Amino","black",0.0527969797147315,0.730510292626513,0.189031178015223,0.213637717929371,0.275985924290224,0.0664917925585979,0.229961071831235,0.128595375126939,-0.244864032058916,0.104983006239665,0.475953156173949,0.000951066837624218,0.183237155506216,0.228266764089241,-0.254622506104611,0.0914223395077983,0.0144384608492109,0.925001583710274,-0.00639424576625615,0.966748017150734,0.196178462681899,0.196507771228985,0.313980787196586,0.0356920298616112
"2","3-decenoylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","black",0.22690714094321,0.133890513604859,0.143074403229306,0.348450056780592,0.218480141651396,0.1493442068982,0.241327307084447,0.110260755766983,-0.443629096356418,0.00227044566423021,0.725602157972961,1.71037363459036e-08,0.312434950003243,0.0366604745234475,-0.203587934257591,0.179798533440891,0.196857825734775,0.194931588334385,-0.268863306980434,0.0741184074437789,0.00548767607310868,0.971460349340386,0.379122827782509,0.0102186984605216
"3","3-hydroxydecanoylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","black",0.069735286046094,0.64897295633905,0.165328088523833,0.277773012266564,-0.00424341433828385,0.977929531463284,0.19953703720987,0.188802804525516,-0.420254750892446,0.00405018203973375,0.736678085198034,7.98069945968324e-09,0.572562312796523,3.96003756379496e-05,-0.048595951192486,0.751239463850113,-0.07391065897013,0.629439058381184,-0.281501699240338,0.0610252779695322,0.309299983046051,0.0386908186551062,0.284530147310563,0.0581802317895982
"4","3-hydroxyhexanoylcarnitine (1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","black",0.00899456857136822,0.953238348472376,0.16498807070345,0.278776305251147,0.216478380246325,0.15320069560808,-0.223157044326874,0.140613204695791,0.147856726949539,0.332403800554588,0.427854819518131,0.00337023857132491,0.181741867189961,0.232151245125985,0.345888870871466,0.0199468119349737,0.301511402893406,0.0441362225679506,0.020254477570281,0.894935901701631,0.0930876474705793,0.543053704096384,0.151803064251467,0.319515349169165
"5","3-hydroxypalmitoylcarnitine","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","black",0.0555754666412025,0.71690293662876,0.139258319018783,0.361588816675269,0.261061923554436,0.0832459009436507,-0.0627735901107997,0.682060722319235,-0.145289420054139,0.340959829594926,0.679264891677558,2.8987614208592e-07,0.13519201069546,0.375913904370145,0.0261725104961237,0.864491837082518,0.477037807288972,0.000922320744097267,-0.0880952017224872,0.564985960225497,0.310082697858051,0.0381754638073367,0.382460183573742,0.009519035212218
"6","5-dodecenoylcarnitine (C12:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","black",-0.110405655967682,0.47029811442536,-0.00868100741236857,0.954866805583324,0.0252523276597834,0.869213935852786,0.0479629273459216,0.754378476014772,-0.11803568104032,0.439977517956858,0.714030552913571,3.65079436922803e-08,0.414121182068888,0.00468361982150467,0.256279892837447,0.0892606976062995,0.113073787357867,0.459570750296051,-0.294102812463956,0.0498796992729018,0.189243709238398,0.213113818446907,0.257796568826511,0.0873175664727484
"7","arachidonoylcarnitine (C20:4)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)","black",0.308989066177868,0.0388971083017481,0.278488866357699,0.0639648736470392,0.237560592721268,0.116101510396961,0.496134040194188,0.000528314448853517,-0.486254762935165,0.000707675398398776,0.843409170775593,3.55754526052752e-13,0.478338216436043,0.00088888138600186,-0.449416226807897,0.00195487443370752,0.180811839080309,0.234589985015356,-0.343352559187241,0.020934845348048,0.185459258684508,0.222577038476455,0.432723485014487,0.00298931752503634
"8","cis-4-decenoylcarnitine (C10:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)","black",0.0151538086483576,0.921297190312207,0.0394324173625507,0.797042126130231,-0.000472498625980013,0.997542183608969,0.128226789472049,0.401222818688203,-0.262177409025576,0.0818894908098521,0.831001828507673,1.60740121387973e-12,0.54853536326673,9.57251995496136e-05,-0.00611571324734198,0.968195712109196,0.102841410292556,0.501422220895219,-0.338033029821857,0.0231411786902413,0.270213493187058,0.0726220599326231,0.350541536180383,0.0182362764913102
"9","decanoylcarnitine (C10)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)","black",0.193190511427344,0.203546953073091,0.0994566434494841,0.515682102594433,0.279076211076924,0.0633831277573368,0.184312124248438,0.225501939490804,-0.378250295758037,0.0104087399843212,0.779085457083457,2.91810880966105e-10,0.403970544747374,0.00592266653399952,-0.0901908356806608,0.555729768599496,0.520613311552693,0.000246213041862156,-0.384014917487491,0.00920741983973357,0.156356668344991,0.305041263391162,0.600422419285181,1.30000392874628e-05
"10","diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*","Lipid","Diacylglycerol","black",0.248624809973754,0.0995854146883349,0.163653778681031,0.282736360761597,0.25183119540327,0.095154368063797,0.243828189560908,0.106508319041632,-0.122857964476652,0.421387126910115,0.542370256390459,0.000118778051095056,0.176106471207606,0.247196460339347,0.220068158269516,0.146336018916571,0.194108494666438,0.20136573760949,-0.120713221522212,0.429599844436915,-0.139153149473067,0.361955103131373,0.109436296779487,0.474228242754181
