"","EntrezId","Symbol","GeneName","GENE","moduleColor","GS.GDAT_BW","p.GS.GDAT_BW","GS.TG_nmol_gWW","p.GS.TG_nmol_gWW","GS.TG_nmol_gWW.1","p.GS.glucose_norm","MM.blue","p.MM.blue","MM.brown","p.MM.brown","MM.cyan","p.MM.cyan","MM.yellow","p.MM.yellow","MM.tan","p.MM.tan","MM.magenta","p.MM.magenta","MM.green","p.MM.green","MM.red","p.MM.red","MM.greenyellow","p.MM.greenyellow","MM.purple","p.MM.purple","MM.pink","p.MM.pink","MM.salmon","p.MM.salmon","MM.turquoise","p.MM.turquoise","MM.black","p.MM.black"
"ENSMUSG00000096954",NA,NA,NA,"ENSMUSG00000096954","black",0.0288868916248643,0.865233117043823,-0.139584445764026,0.409960991493663,-0.0706349954604438,0.677828161543931,0.12434199677065,0.463414453382273,0.0969038663580859,0.568299583602025,-0.178021222929262,0.291817208581949,-0.103186794385319,0.543357472364301,-0.153057222712186,0.365782772768592,-0.46648894198742,0.00361081793357312,-0.174433831297307,0.301807502834355,0.525839492877474,0.00083042869017152,0.412966882213141,0.0110763628372867,0.13656133291282,0.420274222885955,0.12072449145687,0.476623469414794,-0.136105662348956,0.42184126051639,-0.449012468026966,0.00530924140580499,0.784377673772346,9.24419580193837e-09
"ENSMUSG00000109279",NA,NA,NA,"ENSMUSG00000109279","black",-0.0713202022603149,0.674873537115041,-0.176867090578112,0.295007807755061,-0.0784992056604513,0.64421250125679,0.0513265368409777,0.76288816910597,0.127053539293691,0.453642923832268,-0.0550027092524228,0.746445281924086,-0.0611198843170651,0.719330538242358,0.00180352231702356,0.991547481048666,-0.282646663400569,0.0900713030175806,-0.0884653066944382,0.602598910799516,0.266071281617154,0.111442585908955,-0.0171151421866165,0.919914552085829,0.0642820176722482,0.705443172461004,-0.144902490710501,0.392172339621369,-0.22131197670261,0.18804775302981,-0.187716098788067,0.265894084218772,0.677892112057557,4.03776977676732e-06
"ENSMUSG00000103133",NA,NA,NA,"ENSMUSG00000103133","black",0.043074222586199,0.80016403756261,-0.107454519893715,0.52671833905648,-0.0325844061860222,0.848172225637089,-0.141660422849334,0.402963027943113,0.147785648178895,0.382718599401871,-0.0310516634310805,0.855236735145757,-0.102322295941442,0.546758211765487,0.142187999283141,0.401195582321299,0.0255475052312495,0.880693573131664,0.131398573322788,0.438219373123496,0.155672348878913,0.357550018160538,0.114388070297433,0.500227361337348,0.0454463615893805,0.789400429408368,0.0542797759316518,0.74967038426484,0.0178646484316986,0.916419489320966,0.0746397792175812,0.660627905984711,0.684384951104951,2.99926019031214e-06
"ENSMUSG00000086231",NA,NA,NA,"ENSMUSG00000086231","black",-0.124489200443556,0.462881116614681,-0.110497922922059,0.515006675854191,0.009701391805188,0.954555463646217,0.0385255692830362,0.820903860682936,0.0862378607451887,0.611798956484441,-0.360116732928079,0.028570285411152,-0.229444670410883,0.171920084829419,-0.0163421750283111,0.923520566497471,-0.33655306137115,0.0416747129863574,0.0138282771717439,0.935258331328254,0.561857090535809,0.000296179931504224,0.335874465294072,0.0421141571469925,0.0953402592565886,0.574587150565793,0.156240385836374,0.355776631034251,0.0536148375171294,0.752640465266851,-0.325125587000518,0.0495886615353649,0.755929808159873,6.31376075428065e-08
"ENSMUSG00000111618",NA,NA,NA,"ENSMUSG00000111618","black",0.255187954756518,0.127425180109821,0.107718545311347,0.52569718676442,0.0183542870077249,0.914137059477333,0.0685313545549434,0.686928587070935,-0.0405207924976486,0.811790905892135,0.130372563356384,0.441835148748233,0.0763719144010444,0.653240664619326,-0.0941683234355616,0.579320268182797,-0.168821875340771,0.317867146430415,0.0998935911844238,0.556365756991893,0.0279332849666655,0.869643283779772,-0.10875597656716,0.521694187851607,0.103549879587088,0.541932187732786,0.0945598911155228,0.577736891005852,0.128778651799105,0.447484529047326,-0.236910125127699,0.158009550410468,0.636526019936212,2.28594952222709e-05
"ENSMUSG00000089827",NA,NA,NA,"ENSMUSG00000089827","black",-0.068573048471566,0.686747790391295,0.131377725266253,0.438292681681438,-0.137717847392687,0.416311721064539,0.0243433519043974,0.886279468846824,0.0341568480679656,0.840936847397425,-0.0655308428803721,0.699984075276649,0.0960015487843694,0.571924137457486,-0.0101122908054062,0.952632796724808,-0.170526358166734,0.312933853455741,-0.0335572430093629,0.843694366631356,-0.0428225990442299,0.801307951975993,-0.326096437562666,0.0488726583879118,0.201082444761221,0.23271579649273,0.0189968150106146,0.911142971889514,-0.00582264614940201,0.972715762364628,-0.00580025381160085,0.972820651335029,0.547071016188065,0.000458649732392917
"ENSMUSG00000117494",NA,NA,NA,"ENSMUSG00000117494","black",0.0635258195890949,0.708755890437597,0.0337781682254972,0.842678140283117,0.0314540097738355,0.853381197516423,0.0299356068017426,0.860387735172012,0.00598011151252442,0.971978184522223,-0.0471232538221591,0.781814510141812,0.031136273420992,0.854846467555094,-0.0942402636299068,0.579029218520419,-0.279331958314927,0.0940704113762773,-0.0129587387805447,0.939321596294782,0.291292484052764,0.0802555204561876,0.275979974229048,0.0982515367639452,0.246446622681401,0.141450068579096,0.162550052076225,0.336436493267501,-0.00267866423760256,0.987446248063312,-0.172121737554331,0.308360277370817,0.8177691317174,6.47655273892354e-10
"ENSMUSG00000098889",NA,NA,NA,"ENSMUSG00000098889","black",0.00765045014015732,0.964155741387181,-0.0934816293491725,0.582101737305424,-0.198892655057303,0.237949247920935,-0.0402669597625546,0.812948931497956,0.148201651894664,0.381365661647327,0.112962921063347,0.505616637666555,0.142630351209912,0.3997170864336,-0.182401082342251,0.279911604589864,-0.0835484860444923,0.62298534958875,-0.106401589912083,0.530800290622617,0.0648389203843447,0.703006924626409,0.40514120527281,0.0128647777792932,0.233736129732085,0.163820533392556,0.000716297514046787,0.996642897354924,-0.229424280211272,0.171959240147035,-0.073946224994894,0.663594727547422,0.772778809601617,2.09148710021704e-08
"ENSMUSG00000110411",NA,NA,NA,"ENSMUSG00000110411","black",-0.175355995265291,0.299218888855812,-0.132833797080082,0.433188896151497,-0.100573526630581,0.553668128810991,-0.162288685089704,0.337224535107312,0.272070563894202,0.103305605444424,-0.0498530371222967,0.769508168973636,0.0241576559428837,0.887141373951424,-0.128185877291871,0.449595502544964,0.00497530699127042,0.976685121279085,0.201157727816133,0.232537275001022,0.0993806152415217,0.558405025329375,0.222834978769355,0.184949148975723,0.143026467468156,0.398395790251279,0.128403735066372,0.448819046056022,-0.0115336311479947,0.945984202162917,-0.230243383106065,0.170391332145197,0.681740023296554,3.38849334587883e-06
"ENSMUSG00000096991",NA,NA,NA,"ENSMUSG00000096991","black",-0.131156143082134,0.439072253398806,-0.211226638760185,0.209493441319049,-0.0272338587120415,0.87288041126609,0.0627139019943201,0.712318574946054,0.217632375853378,0.195684750462234,-0.297966350412733,0.0732636552855316,-0.156223220706454,0.355830141968516,-0.0283608697247059,0.867665334950056,-0.368165742773661,0.0249610803897452,-0.0646786081704693,0.703707934871192,0.377525417663816,0.0212473244190803,0.063676155050839,0.708096885713236,0.184557178438999,0.274168443666678,0.131268698717882,0.438676164362202,-0.010641380590585,0.950157484651399,-0.33324930707128,0.043849585894389,0.677717475968957,4.06977387438291e-06
