"","gene","genus","bcv.prob","stab.prob","refitted.coef","GeneName","moduleColor"
"1","ENSMUSG00000000167","Anaerotruncus",0.73,0.9,0.0713393502219501,"PIH1 domain containing 2","blue"
"2","ENSMUSG00000000167","Dorea",0.77,0.84,-0.0997256940250431,"PIH1 domain containing 2","blue"
"3","ENSMUSG00000000305","Bacteroides",0.74,0.64,0.0667842850330404,"cadherin 4","brown"
"4","ENSMUSG00000000305","f.Christensenellaceae",0.83,0.91,0.159614666410181,"cadherin 4","brown"
"5","ENSMUSG00000000305","Anaerotruncus",0.73,0.88,-0.0661771486463504,"cadherin 4","brown"
"6","ENSMUSG00000000320","Anaerotruncus",0.82,0.9,-0.106621447527486,"arachidonate 12-lipoxygenase","tan"
"7","ENSMUSG00000000739","Anaerotruncus",0.81,0.95,0.0990461797429162,"sulfotransferase family 5A, member 1","brown"
"8","ENSMUSG00000000869","Anaerotruncus",0.7,0.88,-0.0703804182189245,"interleukin 4","blue"
"9","ENSMUSG00000001281","Butyricimonas",0.72,0.85,-0.134863838255675,"integrin beta 7","salmon"
"10","ENSMUSG00000001802","Alistipes",0.7,0.91,0.127057558600922,"low density lipoprotein receptor-related protein 3","turquoise"
"11","ENSMUSG00000001911","Anaerotruncus",0.72,0.91,0.0491814492234064,"nuclear factor I/X","turquoise"
"12","ENSMUSG00000002043","Alistipes",0.71,0.87,0.102719812422019,"trafficking protein particle complex 6A","turquoise"
"13","ENSMUSG00000002393","[Eubacterium]",0.7,0.86,-0.0593234584656716,"nuclear receptor subfamily 2, group F, member 6","turquoise"
"14","ENSMUSG00000002489","f.Lachnospiraceae",0.74,0.88,0.131611875629578,"T cell lymphoma invasion and metastasis 1","blue"
"15","ENSMUSG00000002633","Anaerofustis",0.75,0.93,0.2051918500939,"sonic hedgehog","pink"
"16","ENSMUSG00000002763","Alistipes",0.7,0.85,0.121868657761926,"peroxisomal biogenesis factor 6","turquoise"
"17","ENSMUSG00000002763","[Eubacterium]",0.72,0.86,-0.0564483945464441,"peroxisomal biogenesis factor 6","turquoise"
"18","ENSMUSG00000002781","Alistipes",0.72,0.9,0.107152598925082,"transmembrane protein 143","turquoise"
"19","ENSMUSG00000002781","[Eubacterium]",0.72,0.87,-0.0453129615102083,"transmembrane protein 143","turquoise"
"20","ENSMUSG00000002845","Anaerotruncus",0.78,0.93,-0.107228786325121,"transmembrane protein 39a","yellow"
"21","ENSMUSG00000002985","Alistipes",0.75,0.89,0.127222933366475,"apolipoprotein E","turquoise"
"22","ENSMUSG00000003072","Alistipes",0.76,0.89,0.149379746713975,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit","turquoise"
"23","ENSMUSG00000003072","[Eubacterium]",0.72,0.83,-0.0547063455668366,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit","turquoise"
"24","ENSMUSG00000003346","Alistipes",0.76,0.85,0.113383168742624,"abhydrolase domain containing 17A","turquoise"
"25","ENSMUSG00000003379","Butyricimonas",0.71,0.87,-0.139053668942519,"CD79A antigen (immunoglobulin-associated alpha)","turquoise"
"26","ENSMUSG00000003484","[Eubacterium]",0.7,0.84,0.06963897131124,"cytochrome P450, family 4, subfamily f, polypeptide 18","turquoise"
"27","ENSMUSG00000003531","Alistipes",0.72,0.89,0.1511466173292,"DiGeorge syndrome critical region gene 6","turquoise"
"28","ENSMUSG00000003762","Alistipes",0.74,0.89,0.12139076824093,"coenzyme Q8B","turquoise"
"29","ENSMUSG00000003762","[Eubacterium]",0.75,0.89,-0.0782998771810051,"coenzyme Q8B","turquoise"
"30","ENSMUSG00000004098","Anaerotruncus",0.7,0.86,0.0401671751388754,"collagen, type V, alpha 3","turquoise"
